timestamp,one_minus_M_AE
2024-05-10 10:53:00+00:00,385
2024-05-10 10:54:00+00:00,390
2024-05-10 10:55:00+00:00,382
2024-05-10 10:56:00+00:00,371
2024-05-10 10:57:00+00:00,359
2024-05-10 10:58:00+00:00,352
2024-05-10 10:59:00+00:00,354
2024-05-10 11:00:00+00:00,356
2024-05-10 11:01:00+00:00,353
2024-05-10 11:02:00+00:00,343
2024-05-10 11:03:00+00:00,334
2024-05-10 11:04:00+00:00,331
2024-05-10 11:05:00+00:00,312
2024-05-10 11:06:00+00:00,298
2024-05-10 11:07:00+00:00,292
2024-05-10 11:08:00+00:00,301
2024-05-10 11:09:00+00:00,326
2024-05-10 11:10:00+00:00,335
2024-05-10 11:11:00+00:00,352
2024-05-10 11:12:00+00:00,362
2024-05-10 11:13:00+00:00,363
2024-05-10 11:14:00+00:00,353
2024-05-10 11:15:00+00:00,327
2024-05-10 11:16:00+00:00,308
2024-05-10 11:17:00+00:00,311
2024-05-10 11:18:00+00:00,312
2024-05-10 11:19:00+00:00,317
2024-05-10 11:20:00+00:00,326
2024-05-10 11:21:00+00:00,358
2024-05-10 11:22:00+00:00,377
2024-05-10 11:23:00+00:00,332
2024-05-10 11:24:00+00:00,320
2024-05-10 11:25:00+00:00,316
2024-05-10 11:26:00+00:00,334
2024-05-10 11:27:00+00:00,344
2024-05-10 11:28:00+00:00,360
2024-05-10 11:29:00+00:00,361
2024-05-10 11:30:00+00:00,342
2024-05-10 11:31:00+00:00,341
2024-05-10 11:32:00+00:00,364
2024-05-10 11:33:00+00:00,379
2024-05-10 11:34:00+00:00,368
2024-05-10 11:35:00+00:00,372
2024-05-10 11:36:00+00:00,368
2024-05-10 11:37:00+00:00,364
2024-05-10 11:38:00+00:00,374
2024-05-10 11:39:00+00:00,390
2024-05-10 11:40:00+00:00,399
2024-05-10 11:41:00+00:00,402
2024-05-10 11:42:00+00:00,381
2024-05-10 11:43:00+00:00,379
2024-05-10 11:44:00+00:00,392
2024-05-10 11:45:00+00:00,418
2024-05-10 11:46:00+00:00,438
2024-05-10 11:47:00+00:00,426
2024-05-10 11:48:00+00:00,436
2024-05-10 11:49:00+00:00,468
2024-05-10 11:50:00+00:00,544
2024-05-10 11:51:00+00:00,538
2024-05-10 11:52:00+00:00,532
2024-05-10 11:53:00+00:00,527
2024-05-10 11:54:00+00:00,529
2024-05-10 11:55:00+00:00,556
2024-05-10 11:56:00+00:00,563
